order,seasonal_order,aic,bic
"(0, 1, 0)","(0, 0, 0, 0)",-3234.7644726119797,-3230.2661904625033
"(1, 1, 0)","(0, 0, 0, 0)",-3238.286383751328,-3229.289819452375
"(1, 0, 0)","(0, 0, 0, 0)",-3237.3801350941967,-3228.380561012885
"(2, 0, 0)","(0, 0, 0, 0)",-3237.355899515487,-3223.861053067058
"(1, 0, 1)","(0, 0, 0, 0)",-3237.019946149818,-3223.525099701389
"(0, 1, 1)","(0, 0, 0, 0)",-3232.1525255426086,-3223.1589755622367
"(2, 0, 1)","(0, 0, 0, 0)",-3235.404902457637,-3217.4117738597315
"(2, 1, 0)","(0, 0, 0, 0)",-3230.7649564905932,-3217.2746315200357
"(1, 1, 1)","(0, 0, 0, 0)",-3230.5805371432984,-3217.090212172741
"(0, 1, 2)","(0, 0, 0, 0)",-3227.162855793099,-3213.677059125288
"(1, 0, 2)","(0, 0, 0, 0)",-3230.0020750913854,-3212.014975130642
"(3, 0, 0)","(0, 0, 0, 0)",-3229.792106794389,-3211.8050068336456
"(2, 1, 1)","(0, 0, 0, 0)",-3228.840817906496,-3210.8537179457526
"(3, 1, 0)","(0, 0, 0, 0)",-3226.588494381943,-3208.607432158195
"(1, 1, 2)","(0, 0, 0, 0)",-3224.839701462446,-3206.8586392386983
"(3, 0, 1)","(0, 0, 0, 0)",-3228.0152888554903,-3205.531413904561
"(2, 1, 2)","(0, 0, 0, 0)",-3228.002075762126,-3205.525747982441
"(2, 0, 2)","(0, 0, 0, 0)",-3227.694011294584,-3205.2101363436545
"(0, 1, 0)","(1, 0, 0, 5)",-3213.09655664998,-3204.112076979939
"(0, 1, 3)","(0, 0, 0, 0)",-3221.2460648555316,-3203.2710494961248
"(1, 0, 3)","(0, 0, 0, 0)",-3225.0032321529666,-3202.5269043732815
"(0, 1, 1)","(1, 0, 0, 5)",-3215.873687455309,-3202.396967950248
"(3, 0, 2)","(0, 0, 0, 0)",-3229.0412310507513,-3202.060581109636
"(3, 1, 1)","(0, 0, 0, 0)",-3224.3282736188976,-3201.8519458392125
"(1, 0, 0)","(1, 0, 0, 5)",-3211.9595169006916,-3198.4827973956303
"(0, 1, 0)","(0, 0, 1, 5)",-3207.1965330118987,-3198.215085942894
"(2, 0, 3)","(0, 0, 0, 0)",-3224.7818924233293,-3197.8102990877073
"(3, 1, 2)","(0, 0, 0, 0)",-3224.74639001335,-3197.774796677728
"(1, 0, 0)","(0, 0, 1, 5)",-3211.1499339963475,-3197.673214491286
"(1, 1, 3)","(0, 0, 0, 0)",-3220.122177788957,-3197.6534085896983
"(1, 1, 0)","(1, 0, 0, 5)",-3210.210291472332,-3196.7381208688244
"(1, 0, 1)","(1, 0, 0, 5)",-3214.672710727048,-3196.7037513869664
"(1, 1, 0)","(0, 0, 1, 5)",-3210.1465204467318,-3196.6743498432243
"(0, 1, 2)","(1, 0, 0, 5)",-3214.59860132026,-3196.6296419801783
"(1, 0, 0)","(1, 0, 1, 5)",-3210.673829702618,-3192.7048703625364
"(2, 0, 0)","(0, 0, 1, 5)",-3209.464770496186,-3191.495811156104
"(3, 0, 3)","(0, 0, 0, 0)",-3222.8874704334285,-3191.420611541869
"(0, 1, 3)","(1, 0, 0, 5)",-3213.684841116171,-3191.2236419410688
"(2, 1, 3)","(0, 0, 0, 0)",-3218.178221389877,-3191.2156983507666
"(1, 0, 2)","(1, 0, 0, 5)",-3213.4097647594917,-3190.9485655843896
"(0, 1, 0)","(1, 0, 1, 5)",-3204.301826245526,-3190.8296556420187
"(0, 1, 1)","(0, 0, 1, 5)",-3204.216641496776,-3190.7490267028
"(2, 1, 0)","(0, 0, 1, 5)",-3208.4701745081097,-3190.5072803700996
"(1, 1, 1)","(1, 0, 0, 5)",-3208.2970404346142,-3190.334146296604
"(1, 1, 0)","(1, 0, 1, 5)",-3207.1078674674927,-3189.1449733294826
"(3, 0, 0)","(0, 0, 1, 5)",-3210.2135221903527,-3187.7523230152506
"(3, 1, 0)","(0, 0, 1, 5)",-3208.2411147830762,-3185.787497110564
"(1, 0, 3)","(1, 0, 0, 5)",-3212.5102427531324,-3185.5568037430094
"(3, 1, 3)","(0, 0, 0, 0)",-3216.716979570456,-3185.260702691494
"(1, 0, 1)","(1, 0, 1, 5)",-3207.619445625858,-3185.165827953346
"(0, 1, 1)","(1, 0, 1, 5)",-3203.0121761646847,-3185.0553564393836
"(2, 1, 0)","(1, 0, 0, 5)",-3202.578907897469,-3184.622088172168
"(1, 1, 1)","(0, 0, 1, 5)",-3202.541206991374,-3184.584387266073
"(1, 1, 2)","(1, 0, 0, 5)",-3206.4095264902903,-3183.955908817778
"(1, 0, 1)","(0, 0, 1, 5)",-3200.2637852455227,-3182.3008911075126
"(0, 1, 2)","(0, 0, 1, 5)",-3198.1609689391807,-3180.2102328652422
"(1, 1, 3)","(1, 0, 0, 5)",-3206.4413583878995,-3179.4970171808845
"(1, 1, 1)","(1, 0, 1, 5)",-3201.2706707904326,-3178.8246461338063
"(2, 1, 1)","(0, 0, 1, 5)",-3200.907995741977,-3178.461971085351
"(2, 1, 1)","(1, 0, 0, 5)",-3200.676411719076,-3178.2303870624496
"(2, 1, 2)","(1, 0, 0, 5)",-3204.257518447833,-3177.3222888598807
"(2, 1, 0)","(1, 0, 1, 5)",-3199.440224136453,-3176.9941994798264
"(3, 1, 0)","(1, 0, 0, 5)",-3197.56287841374,-3175.1244583213165
